,Вопрос,Ответ 1,Ответ 2,Ответ 3,Ответ 4
0,В каком городе не работал великий композитор 18-го века Кристоф Виллибальд Глюк?,Берлин,Милан,Вена,Париж
1,Кто первым доказал периодичность появления комет?,Галлей,Галилей,Коперник,Кеплер
2,"Про какую летнюю погоду говорят ""Вёдро"" ?",Сухая ясная,Теплая дождливая,Прохладная дождливая,Длительные заморозки
3,С какой из этих стран Чехия не граничит?,Венгрия,Германия,Австрия,Польша
4,Где в основном проживают таты?,Дагестан,Татарстан,Башкортостан,Туркменистан
5,"Как, в переводе на русский язык, звучало бы название фильма 'Мимино'?",Сокол,Медведь,Гора,Любовь
6,"Как называется курс парусного судна, совпадающий с направлением ветра?",Фордевинд,Бейдевинд,Галфинд,Бакштаг
7,"На вершине какой горы расположена сорокаметровая статуя Христа, являющаяся символом Рио-де-Жанейро?",Корковадо,Тупунгато,Уаскаран,Ильимани
8,"Какое брюхо, согласно спорной русской пословице, глухо к ученью?",Сытое,Толстое,Тощее,Пустое
9,Что из этого является видом ткани?,Креп-жоржет,Креп-лизет,Креп-мюзет,Креп-жаннет
10,Как называется комедия В. В. Маяковского?,Клоп,Пена,Жук,Паук
11,Кто является чемпионом гонок 'Формулы-1' 1998-99 г.г.?,Хаккинен,М. Шумахер,Барикелло,Кулхард
12,Чье произведение легло в основу оперы Дж. Верди 'Травиата'?,А.Дюма-сына,В. Гюго,О. Бальзака,Г. Флобера
13,Какой из этих городов - родина Казановы?,Венеция,Неаполь,Милан,Флоренция
14,Кто считается основоположником кубизма?,П. Пикассо,В. Кандинский,Ф. Леже,К. Малевич
15,Территория какой из этих стран - наибольшая?,Япония,Германия,Италия,Финляндия
16,Какая из этих кислот является витамином?,Никотиновая,Молочная,Яблочная,Янтарная
17,Какая очередность этих трех букв в русском алфавите правильная?,Ъ Ы Ь,Ь Ы Ъ,Ъ Ь Ы,Ь Ъ Ы
18,Какая березка стояла во поле?,Кудрявая,Высокая,Зеленая,Засохшая
19,Кто из этих знаменитых людей не является тезкой остальных?,Лужков,Боярский,Лермонтов,Горбачев
20,Какой ресторан находится на углу Старого и Нового Арбата?,Прага,Пекин,Белград,София
21,Какой вид березы славится красивой древесиной?,Карельская,Курильская,Корейская,Канадская
22,Какая поэма есть у В. В. Маяковского?,"""Флейта-позвоночник""","""Свирель-губы""","""Скрипка-ладони""","""Барабан-нервы"""
23,Какая из этих рек впадает в Азовское море?,Дон,Днестр,Южный Буг,Днепр
24,Кто из этих великих футболистов прошлого был защитником?,Беккенбауэр,Платини,Гарринча,Эйсебио
25,Какую икру больше всего любил Джеймс Бонд?,Белужью,Осетровую,Севрюжью,Стерляжью
26,"Какой цвет волос был у возлюбленной Тристана Изольды, если верить Бедье?",Белокурый,Рыжий,Каштановый,Вороново крыло
27,У автомобилей какой из этих стран международный регистрационный знак DZ?,Алжир,Белиз,Бенин,Замбия
28,Одним из направлений какой религиозной философии является учение дзен?,Буддизм,Иудаизм,Индуизм,Даосизм
29,В каком городе в 1932 году был проведён первый международный кинофестиваль? ,Венеция,Канн,Париж,Берлин
30,С какой фигуры начинаются соревнования по городошному спорту?,Пушка,Пулемётное гнездо,Артиллерия,Часовые
31,Сколько раз в сутки подзаводят часы на Спасской башне московского Кремля?,Два,Один,Три,Четыре
32,Кто получил первую Нобелевскую премию по литературе?,Поэт,Романист,Драматург,Эссеист
33,"С какой буквы начинаются слова, опубликованные в 16 м томе последнего издания Большой Советской энциклопедии?",М,Н,О,П
34,"Как назвали первую кимберлитовую трубку, открытую Ларисой Попугаевой 21 августа 1954 года?",«Зарница»,«Удачная»,«Мир»,«Советская»
